year,capital region,gangwon,chungbuk,chungnam,kyungpook,kyungnam,jeonbuk,jeonnam,jeju
1980,1199,1141.95,1604.5,1427.2,1235.8,1656.1,1476.2,1762.3,1633.5
1981,1267.4,1457.85,1124.3,1220.4,912.5,1252.9,1263.1,1617.9,1662.4
1982,966.6,1021.95,856.2,912.2,740.4,1098.8,917.4,1123.3,1417.5
1983,1034.3,1142.05,1163.6,1188.1,1045,1399.1,1244.9,1184.3,1604.4
1984,1195.4,1497.9,1179.3,1282.2,1092.1,1386.2,1401.5,1197,1012.2
1985,1406.4,1341.35,1486.5,1535.2,1220,2085.9,1686.4,2189.6,2832.5
1986,1205.2,1193.15,1186.6,1282.7,946,1233.6,1334.2,1484.7,1787.3
1987,1636.9,1395.55,1701.6,1778.1,1163.3,1506.6,1575.3,1592.5,1836.2
1988,841.5,1011.25,989.5,740.1,827.4,838.8,726.8,833.3,1338.2
1989,1280,1466.9,1340.7,1360.8,1284.4,1810.9,1357.3,1611.3,1520.3
1990,2193.6,2005.95,1549.9,1536.3,1184.9,1537.2,1254.3,1483.4,1971.6
1991,1139.1,1207.4,1166,1153.1,1239.5,1831.8,1199.9,1321.7,1841.8
1992,1207,1354.1,1028.2,1067.9,915,1121.5,1048.3,1061.4,1530.2
1993,1210.3,1338.95,1402.9,1202.3,1408.8,1534.1,1511.5,1417.1,1871.5
1994,1084.1,1045.2,940.3,1094.4,706.9,900.4,826.5,892.5,1537.5
1995,1401.9,1253.8,1181.4,1366.4,812.3,916.9,880,843.2,1876.7
1996,1103.8,1160.95,1038,1009.2,947.9,1049.3,1164.5,1160.1,1268.6
1997,1320.4,1327.75,1401.9,1407.9,1135.4,1496.5,1454.8,1389.5,1287.7
1998,1932.6,1699.35,1724.4,1681.7,1603.7,1936.9,1697.1,1740.2,1836.5
1999,1575.9,1682.35,1357.2,1447.4,1454.6,1977.1,1379.9,1884.7,2748.3
2000,1198.2,1197.3,1312.6,1460.3,1103.1,1408.3,1375.1,1379.4,1279
2001,1184.3,1055.45,822.5,872.1,875.5,1190.9,1013.6,1010.3,1585.4
2002,1202.5,1562.65,1381.7,1363.6,1359.9,1847.3,1212.6,1618.7,1790.7
2003,1718,1910.2,1843.2,1590.4,1847.9,2050.8,1860.1,1956.3,2139.7
2004,1348.5,1514.95,1486.6,1383.6,1327.2,1522.3,1376.9,1663,1675.9
2005,1279.4,1484.55,1374.3,1362.4,1097.5,1255.1,1449,1225.6,1131.6
2006,1400.5,1753.05,1317.6,1088.1,1361.8,1505.6,1227.3,1534.8,1642.5
2007,1206.8,1359.95,1611.2,1513.3,1282.5,1427.3,1727.7,1646.6,2153.2
2008,1292.4,1280.3,889.6,879.5,850.1,905.4,920.9,1018.8,1485.1
2009,1483.9,1369.55,1105,1074.8,897.2,1274.7,1233.6,1348.3,1655.8
2010,1762.8,1309.5,1372.7,1560.9,1056.1,1614.3,1488.1,1616.4,1989.1
2011,1951.1,1821.1,1812.2,1821.3,1307,1626.3,1504.5,1442.1,1744.4
2012,1541.8,1260.35,1439.3,1455.7,1244.9,1752.7,1445.6,1714.5,2474.6
2013,1276,1243.65,1181.1,1147,992.4,1175.8,1161.5,1172.5,972.9
2014,807.9,984.15,1013.2,1060.8,1152.9,1490.9,1218.8,1483.8,2018.3
2015,710.8,938.45,801.6,811.1,801,1236.4,908.7,1239.8,2173.2
2016,995.1,1193.25,1121.2,1034.9,1209.5,1669.8,1157.6,1517.2,1810.5
2017,1100,1157.85,1154.1,1014.2,835.3,819.3,930.8,921,1053.7
2018,1196,1493.3,1376.2,1316.6,1330.5,1576,1332.2,1424,1967.9
2019,973.7,1154.7,941.1,923.6,1128.4,1624.4,1139.5,1422.7,2102.3
2020,1511.8,1678.8,1535.9,1538.5,1333.2,1927.1,1837.5,1635.7,1706.1
2021,1075.3,1135.15,1151.2,1149.5,1157.5,1530.2,1299.7,1398.1,1809.5
2022,1750.4,1485.4,1229.9,1242.1,857.9,982,975.2,846,1362.4
2023,,,,,,,,,
